Date,Pond,Clutch,Indiv,Cam,Tray,T_initial,T_final,Initials,Comments,Temp comments,Treatment,trynum
5/18/19,BO,5,C,2,2,16.2,16,KG,,temp measured on metal tray,HIGH,
5/18/19,BO,1,A,2,2,15.9,15.9,KG,,temp measured on metal tray,HIGH,1
5/18/19,BS,1,A,2,2,15.9,15.9,KG,"didn't start camera, so gave 1 min rest before trying again.",temp measured on metal tray,HIGH,
5/18/19,BS,4,C,2,2,15.9,16,KG,,temp measured on metal tray,HIGH,
5/18/19,CPS,3,C,2,2,15.6,15.6,KG,,temp measured on metal tray,HIGH,
5/18/19,CPS,1,A,2,2,15.8,15.9,KG,,temp measured on metal tray,HIGH,
5/18/19,DE,1,D,2,2,17,15.9,KG,,temp measured on metal tray,HIGH,
5/18/19,DE,4,C,2,2,15.9,15.9,KG,,temp measured on metal tray,HIGH,
5/18/19,DT,4,C,2,2,16,16,KG,,temp measured on metal tray,HIGH,
5/18/19,E1,2,C,2,2,15.9,15.9,KG,,temp measured on metal tray,HIGH,
5/18/19,E1,5,B,2,2,15.8,15.7,KG,,temp measured on metal tray,HIGH,
5/18/19,GB,4,B,2,2,15.9,15.9,KG,,temp measured on metal tray,HIGH,
5/18/19,LO,6,B,2,2,15.9,15.9,KG,"didn't start camera, so gave 1 min rest before trying again.",temp measured on metal tray,HIGH,
5/18/19,LO,5,B,2,2,15.8,16,KG,,temp measured on metal tray,HIGH,
5/18/19,MI,3,B,2,2,15.6,16.2,KG,,temp measured on metal tray,HIGH,
5/18/19,MI,6,C,2,2,15.8,15.7,KG,,temp measured on metal tray,HIGH,
5/18/19,PB,6,A,2,2,NA,NA,KG,could not find--dead?,temp measured on metal tray,HIGH,
5/18/19,PB,5,B,2,2,15.6,15.8,KG,,temp measured on metal tray,HIGH,
5/19/19,BO,3,B,2,2,16.3,16.4,KG,,temp measured on metal tray,HIGH,
5/19/19,BS,2,A,2,2,16.4,16.3,KG,"room lights on; didn't start camera, so gave 1 min rest before trying again.",temp measured on metal tray,HIGH,
5/19/19,BS,3,D,2,2,NA,NA,KG,could not find--dead?,temp measured on metal tray,HIGH,
5/19/19,CPS,6,B,2,2,16.5,16.5,KG,,temp measured on metal tray,HIGH,
5/19/19,DE,2,D,2,2,16.5,16.5,KG,,temp measured on metal tray,HIGH,
5/19/19,DE,5,C,2,2,16.8,16.9,KG,,temp measured on metal tray,HIGH,
5/19/19,DT,2,B,2,2,16.4,16.5,KG,room lights on.,temp measured on metal tray,HIGH,
5/19/19,DT,6,C,2,2,16.7,16.8,KG,,temp measured on metal tray,HIGH,
5/19/19,E1,4,A,2,2,16.6,16.6,KG,,temp measured on metal tray,HIGH,
5/19/19,GB,5,C,2,2,16.7,16.5,KG,room lights on.,temp measured on metal tray,HIGH,
5/19/19,GB,2,B,2,2,16.5,16.7,KG,,temp measured on metal tray,HIGH,
5/19/19,LO,4,C,2,2,16.6,16.4,KG,,temp measured on metal tray,HIGH,
5/19/19,MI,2,B,2,2,16.5,16.5,KG,"didn't start camera, so gave 1 min rest before trying again.",temp measured on metal tray,HIGH,
5/19/19,PB,2,C,2,2,16.3,16.4,KG,,temp measured on metal tray,HIGH,
5/23/19,CPS,4,D,2,2,16.9,NA,AZA,,temp measured on white tray,HIGH,
5/23/19,MI,5,D,2,2,16.9,NA,AZA,,temp measured on white tray,HIGH,
5/23/19,PB,4,A,2,2,17.1,NA,AZA,,temp measured on white tray,HIGH,
5/24/19,BO,4,B,2,2,17.4,NA,AZA,,temp measured on white tray,HIGH,
5/24/19,BO,2,B,2,2,17.1,NA,AZA,,temp measured on white tray,HIGH,
5/24/19,BS,5,D,2,2,17,NA,AZA,,temp measured on white tray,HIGH,
5/24/19,CPS,5,A,2,2,17.2,NA,AZA,,temp measured on white tray,HIGH,
5/24/19,DE,3,A,2,2,17,NA,AZA,,temp measured on white tray,HIGH,
5/24/19,DT,5,B,2,2,17.2,NA,AZA,,temp measured on white tray,HIGH,
5/24/19,E1,3,C,2,2,17.5,NA,AZA,,temp measured on white tray,HIGH,
5/24/19,E1,1,B,2,2,17.2,NA,AZA,,temp measured on white tray,HIGH,
5/24/19,GB,1,A,2,2,17.1,NA,AZA,,temp measured on white tray,HIGH,
5/24/19,LO,3,D,2,2,17.3,NA,AZA,,temp measured on white tray,HIGH,
5/24/19,MI,1,B,2,2,17.2,NA,AZA,,temp measured on white tray,HIGH,
5/24/19,PB,1,C,2,2,17.3,NA,AZA,,temp measured on white tray,HIGH,
5/25/19,BO,5,D,2,2,17,NA,KG,,temp measured on white tray,HIGH,
5/25/19,BS,1,D,2,2,17.5,NA,KG,,temp measured on white tray,HIGH,
5/25/19,CPS,3,A,2,2,18,NA,KG,room lights on,temp measured on white tray,HIGH,
5/25/19,DE,1,A,2,2,17.8,NA,KG,room lights on,temp measured on white tray,HIGH,
5/25/19,DT,3,A,2,2,17.3,NA,KG,room lights on,temp measured on white tray,HIGH,
5/25/19,E1,2,D,2,2,16.8,NA,KG,,temp measured on white tray,HIGH,
5/25/19,GB,6,B,2,2,16.8,NA,KG,"room lights on; hit tadpole with cylinder, so let rest for an extra 1 min before starting",temp measured on white tray,HIGH,
5/25/19,GB,4,D,2,2,17.6,NA,KG,,temp measured on white tray,HIGH,
5/25/19,LO,2,B,2,2,18,NA,KG,room lights on,temp measured on white tray,HIGH,
5/25/19,LO,6,C,2,2,17.9,NA,KG,,temp measured on white tray,HIGH,
5/25/19,MI,3,D,2,2,18,NA,KG,room lights on,temp measured on white tray,HIGH,
5/25/19,PB,6,C,2,2,16.7,NA,KG,,temp measured on white tray,HIGH,
5/26/19,BO,1,B,2,2,16.4,NA,KG,,temp measured on white tray,HIGH,
