fullname,trial,frame_indexed_0,start_of_trial_indexed_0,difference,verification
BO_01_A_High_20190518_C2,2,386,288,98,
BO_01_A_High_20190601_C2,1,13,0,13,
BO_01_B_High_20190526_C2,1,81,0,81,
BO_01_B_High_20190526_C2,2,313,250,63,
BO_01_B_High_20190526_C2,3,556,518,38,
BO_01_B_Low_20190623_C2,3,267,230,37,
BO_01_C_High_20190529_C2,4,699,671,28,
BO_01_C_Low_20190630_C2,1,30,0,30,
BO_01_D_Low_20190701_C2,3,259,249,10,
BO_02_B_High_20190524_C2,3,481,460,21,
BO_02_D_Low_20190702_C2,2,287,209,78,
BO_03_B_High_20190519_C2,1,43,0,43,
BO_03_B_High_20190519_C2,2,272,180,92,
BO_03_B_Low_2_20190618_C2,1,59,0,59,
BO_03_C_High_20190529_C2,3,378,363,15,
BO_03_D_High_20190526_C2,2,281,218,63,
BO_04_B_High_20190524_C2,1,80,0,80,
BO_04_B_High_20190524_C2,3,524,499,25,
BO_04_B_Low_20190618_C2,1,49,0,49,
BO_04_B_Low_20190618_C2,2,282,240,42,
BO_04_C_High_20190527_C2,2,307,235,72,
BO_04_C_High_20190527_C2,3,503,491,12,
BO_04_C_Low_20190702_C2,1,33,0,33,
BO_04_D_High_20190530_C2,3,281,256,25,
BO_04_D_High_20190530_C2,4,466,408,58,
BO_04_D_Low_20190630_C2,3,551,464,87,
BO_05_A_High_20190528_C2,3,590,544,46,
BO_05_A_Low_20190620_C2,1,29,0,29,
BO_05_A_Low_20190622_C1,1,49,0,49,
BO_05_A_Low_20190622_C1,2,402,213,189,ok
BO_05_A_Low_20190622_C1,3,599,538,61,
BO_05_C_High_20190518_C2,2,359,311,48,
BO_05_C_High_20190518_C2,4,828,712,116,ok
BO_05_D_High_20190525_C2,1,45,0,45,
BO_05_D_High_20190525_C2,4,853,713,140,ok
BO_W_01_20190604_C2,4,536,483,53,
BO_W_02_20190604_C2,1,35,0,35,
BO_W_02_20190604_C2,4,627,562,65,
BO_W_03_20190606_C1,4,972,800,172,ok
BO_W_03_20190606_C1,6,1235,1212,23,
BO_W_04_20190605_C2,1,26,0,26,
BO_W_04_20190605_C2,2,113,102,11,
BO_W_05_20190605_C2,5,814,729,85,
BO_W_06_20190606_C2,4,302,269,33,
BO_W_07_20190606_C2,1,87,0,87,
BO_W_07_20190606_C2,2,163,142,21,
BO_W_07_20190606_C2,4,348,321,27,
BO_W_08_20190606_C1,4,810,775,35,
BO_W_09_20190607_C2,1,15,0,15,
BO_W_10_20190607_C2,1,42,0,42,
BO_W_10_20190607_C2,2,333,217,116,ok
BO_W_11_20190611_C2,5,975,942,33,
BO_W_13_20190611_C2,2,112,106,6,
BO_W_14_2_20190612_C2,3,436,409,27,
BO_W_14_20190612_C2,2,284,170,114,ok
BO_W_14_20190612_C2,5,1035,941,94,
BO_W_15_20190612_C2,3,484,458,26,
BO_W_16_2_20190612_C2,5,991,984,7,
BO_W_19_20190613_C2,2,178,143,35,
BO_W_19_20190613_C2,4,589,580,9,
BO_W_20_20190614_C2,2,258,254,4,
BS_01_A_High_20190518_C2,1,41,0,41,
BS_01_A_High_20190518_C2,2,353,312,41,
BS_01_A_High_20190518_C2,3,588,551,37,
BS_01_B_High_20190528_C2,1,52,0,52,
BS_01_B_High_20190528_C2,3,642,573,69,
BS_01_B_High_20190528_C2,4,934,882,52,
BS_01_C_High_20190531_C2,2,195,154,41,
BS_01_C_High_20190531_C2,4,563,514,49,
BS_01_D_High_20190525_C2,4,894,868,26,
