fullname,trial,frame_indexed_0,start_of_trial_indexed_0,comments
BO_01_A_High_20190518_C2,2,386,,
BO_01_A_High_20190601_C2,1,13,,
BO_01_B_High_20190526_C2,1,81,,
BO_01_B_High_20190526_C2,2,313,,
BO_01_B_High_20190526_C2,3,556,,
BO_01_B_Low_20190623_C2,3,267,,
BO_01_C_High_20190529_C2,4,699,,
BO_01_C_Low_20190630_C2,1,30,,
BO_01_D_Low_20190701_C2,3,259,,
BO_02_B_High_20190524_C2,3,481,,
BO_02_D_Low_20190702_C2,2,287,,
BO_03_B_High_20190519_C2,1,43,,
BO_03_B_High_20190519_C2,2,272,,
BO_03_B_Low_2_20190618_C2,1,59,,
BO_03_C_High_20190529_C2,3,378,,
BO_03_D_High_20190526_C2,2,281,,
BO_04_B_High_20190524_C2,1,80,,
BO_04_B_High_20190524_C2,3,524,,
BO_04_B_Low_20190618_C2,1,49,,
BO_04_B_Low_20190618_C2,2,282,,
BO_04_C_High_20190527_C2,2,307,,
BO_04_C_High_20190527_C2,3,503,,
BO_04_C_Low_20190702_C2,1,33,,
BO_04_D_High_20190530_C2,3,281,,
BO_04_D_High_20190530_C2,4,466,,
BO_04_D_Low_20190630_C2,3,551,,
BO_05_A_High_20190528_C2,3,590,,
BO_05_A_Low_20190620_C2,1,29,,
BO_05_A_Low_20190622_C1,1,49,,
BO_05_A_Low_20190622_C1,2,402,,
BO_05_A_Low_20190622_C1,3,599,,
BO_05_C_High_20190518_C2,2,359,,
BO_05_C_High_20190518_C2,4,828,,
BO_05_D_High_20190525_C2,1,45,,
BO_05_D_High_20190525_C2,4,853,,
BO_W_01_20190604_C2,4,536,,
BO_W_02_20190604_C2,1,35,,
BO_W_02_20190604_C2,4,627,,
BO_W_03_20190606_C1,4,972,,
BO_W_03_20190606_C1,6,1235,,
BO_W_04_20190605_C2,1,26,,
BO_W_04_20190605_C2,2,113,,
BO_W_05_20190605_C2,5,814,,
BO_W_06_20190606_C2,4,302,,
BO_W_07_20190606_C2,1,87,,
BO_W_07_20190606_C2,2,163,,
BO_W_07_20190606_C2,4,348,,
BO_W_08_20190606_C1,4,810,,
BO_W_09_20190607_C2,1,15,,
BO_W_10_20190607_C2,1,42,,
BO_W_10_20190607_C2,2,333,,
BO_W_11_20190611_C2,5,975,,
BO_W_13_20190611_C2,2,112,,
BO_W_14_2_20190612_C2,3,436,,
BO_W_14_20190612_C2,2,284,,
BO_W_14_20190612_C2,5,1035,,
BO_W_15_20190612_C2,3,484,,
BO_W_16_2_20190612_C2,5,991,,
BO_W_19_20190613_C2,2,178,,
BO_W_19_20190613_C2,4,589,,
BO_W_20_20190614_C2,2,258,,
BS_01_A_High_20190518_C2,1,41,,
BS_01_A_High_20190518_C2,2,353,,
BS_01_A_High_20190518_C2,3,588,,
BS_01_B_High_20190528_C2,1,52,,
BS_01_B_High_20190528_C2,3,642,,
BS_01_B_High_20190528_C2,4,934,,
BS_01_C_High_20190531_C2,2,195,,
BS_01_C_High_20190531_C2,4,563,,
BS_01_D_High_20190525_C2,4,894,,
BS_01_D_Low_20190617_C2,2,166,,
BS_01_D_Low_20190617_C2,3,431,,
BS_01_D_Low_20190617_C2,4,581,,
BS_02_A_High_20190519_C2,1,30,,
BS_02_B_High_20190529_C2,1,78,,
BS_02_B_High_20190529_C2,2,290,,
BS_02_C_High_20190526_C2,1,30,,
BS_02_C_High_20190526_C2,3,555,,
BS_02_D_High_20190531_C2,2,270,,
BS_02_D_High_20190531_C2,3,411,,
BS_02_D_High_20190531_C2,5,787,,
BS_03_B_Low_20190702_C2,1,6,,
BS_03_B_Low_20190702_C2,2,215,,
BS_03_C_Low_20190630_C2,2,266,,
BS_04_A_High_20190526_C2,2,283,,
BS_04_A_High_20190526_C2,3,468,,
BS_04_A_High_20190526_C2,4,787,,
BS_04_A_High_20190526_C2,6,1358,,
BS_04_A_Low_20190620_C2,1,54,,
BS_04_A_Low_20190622_C1,1,60,,
BS_04_A_Low_20190622_C1,3,536,,
BS_04_B_High_20190528_C2,1,35,,
BS_04_B_High_20190528_C2,3,633,,
BS_04_B_Low_20190629_C2,2,209,,
BS_04_C_Low_20190617_C2,2,224,,
BS_04_C_Low_20190617_C2,3,456,,
BS_04_D_High_20190601_C2,3,436,,
BS_05_A_High_20190530_C2,3,354,,
BS_05_A_High_20190530_C2,4,584,,
BS_05_A_Low_2_20190622_C1,1,104,,
BS_05_A_Low_2_20190622_C1,2,817,,
BS_05_A_Low_20190624_C2,1,57,,
BS_05_D_High_20190524_C2,2,175,,
BS_05_D_High_20190524_C2,4,772,,
BS_05_D_Low_20190619_C2,2,353,,
BS_05_D_Low_20190619_C2,4,845,,
BS_W_02_20190604_C2,3,458,,
BS_W_02_20190604_C2,4,807,,
BS_W_03_20190605_C2,1,5,,
BS_W_04_20190605_C2,2,298,,
BS_W_04_20190605_C2,3,486,,
BS_W_05_20190605_C2,5,654,,
BS_W_06_20190606_C2,1,25,,
BS_W_07_20190606_C1,4,532,,need to exclude this one
BS_W_07_20190606_C1,5,796,,
BS_W_08_20190606_C1,1,28,,
BS_W_09_20190606_C1,1,63,,
BS_W_10_20190607_C2,1,47,,
BS_W_12_20190611_C2,5,891,,
BS_W_14_20190612_C2,3,343,,
BS_W_16_20190612_C2,1,38,,
BS_W_18_20190613_C2,1,42,,
BS_W_18_20190613_C2,3,474,,
CPS_01_A_High_20190518_C2,2,361,,
CPS_01_A_High_20190518_C2,3,550,,
CPS_01_A_High_20190518_C2,4,836,,
CPS_01_A_High_20190518_C2,5,1122,,
CPS_01_D_High_20190526_C2,2,250,,
CPS_01_D_High_20190526_C2,3,445,,
CPS_03_A_High_20190525_C2,2,257,,
CPS_03_A_Low_20190622_C1,2,286,,
CPS_03_A_Low_20190622_C1,3,513,,
CPS_03_B_High_20190528_C2,3,323,,
CPS_03_C_High_20190518_C2,1,114,,
CPS_03_C_Low_20190617_C2,3,474,,
CPS_03_C_Low_20190617_C2,4,642,,
CPS_03_D_Low_20190629_C2,3,432,,
CPS_04_A_High_20190527_C2,2,312,,
CPS_04_B_Low_20190624_C2,2,323,,
CPS_04_B_Low_20190624_C2,3,515,,
CPS_04_B_Low_20190624_C2,5,1013,,
CPS_04_C_Low_20190630_C2,2,176,,
CPS_04_C_Low_20190630_C2,3,363,,
CPS_04_D_High_20190519_C2,3,552,,
CPS_04_D_High_20190523_C2,1,137,,
CPS_04_D_High_20190523_C2,2,435,,
CPS_04_D_High_20190523_C2,3,785,,
CPS_04_D_Low_20190618_C2,1,30,,
CPS_05_A_High_20190524_C2,6,1245,,
CPS_05_A_High_20190524_C2,7,1525,,
CPS_05_A_Low_20190619_C2,1,27,,
CPS_05_A_Low_20190619_C2,4,846,,
CPS_05_C_High_20190527_C2,1,22,,
CPS_05_C_High_20190527_C2,3,404,,
CPS_05_D_High_20190601_C2,3,415,,
CPS_06_A_Low_20190623_C2,3,244,,
CPS_06_D_High_20190526_C1,1,114,,
CPS_06_D_High_20190526_C1,3,723,,
CPS_06_D_High_20190526_C1,6,1411,,
CPS_06_D_High_20190526_C1,7,1691,,
CPS_06_D_Low_20190618_C2,1,75,,
