treatment,photo.date,photo.number,pond,clutch,indiv,stage,stage.problem,svl.pix,totl.pix,scale,svl.mm,totl.mm,length.problem,tadpole,length,Kaija_stage
High,5/15/19,6,CPS,1,B,32,Y,618,1624,0.016560457,8,11,Y,CPS_01_B_High,Y,
High,5/15/19,13,BO,1,A,33,NA,722,1922,0.016560457,127,77,NA,BO_01_A_High,NA,
High,5/15/19,20,DT,6,C,29,NA,680,1913,0.016560457,81,73,NA,DT_06_C_High,NA,
High,5/15/19,32,PB,1,A,32,Y,758,2285.92,0.016560457,142,176,NA,PB_01_A_High,NA,
High,5/15/19,33,EI,1,C,29,NA,619,1458,0.016560457,9,3,Y,EI_01_C_High,Y,
High,5/15/19,36,EI,1,A,26,NA,584,1713.16,0.016560457,157,21,NA,EI_01_A_High,NA,
High,5/15/19,42,GB,4,A,30,NA,650,1957,0.016560457,45,89,NA,GB_04_A_High,NA,
High,5/15/19,50,MI,6,B,31,NA,737,2129,0.016560457,133,157,NA,MI_06_B_High,NA,
High,5/15/19,67,DE,4,B,29,NA,644,1790,0.016560457,38,32,NA,DE_04_B_High,NA,
High,5/15/19,69,DT,4,D,28,NA,590,1519,0.016560457,159,4,NA,DT_04_D_High,NA,
High,5/17/19,1,LO,2,A,29,NA,562,1708,0.016560457,152,18,NA,LO_02_A_High,NA,
High,5/17/19,2,MI,2,A,29,NA,675,2020,0.016560457,75,117,NA,MI_02_A_High,NA,
High,5/17/19,7,CPS,6,A,30,NA,713,2114,0.016560457,118,150,NA,CPS_06_A_High,NA,
High,5/17/19,12,BS,2,B,30,NA,685,2039,0.016560457,86,125,NA,BS_02_B_High,NA,
High,5/17/19,13,BO,2,A,30,NA,620,1989,0.016560457,10,106,NA,BO_02_A_High,NA,
High,5/17/19,17,BO,2,C,29,NA,631,1996,0.016560457,22,108,NA,BO_02_C_High,NA,
High,5/17/19,33,LPS,6,B,30,NA,669.784,1971.979,0.016560457,71,97,NA,LPS_06_B_High,NA,
High,5/17/19,34,MI,2,D,31,NA,701.924,2069.634,0.016560457,106,133,NA,MI_02_D_High,NA,
High,5/17/19,38,MI,3,A,29,NA,638.016,2012.702,0.016560457,31,115,NA,MI_03_A_High,NA,
High,5/17/19,54,BO,3,D,29,NA,691.738,1793.002,0.016560457,97,34,NA,BO_03_D_High,NA,
High,5/17/19,57,DE,3,B,30,NA,636.805,1881.37,0.016560457,28,61,NA,DE_03_B_High,NA,
High,5/17/19,90,LO,5,B,32,NA,638.421,1769.559,0.016560457,32,29,NA,LO_05_B_High,NA,
High,5/17/19,93,CPS,5,C,30,NA,653.707,2021.366,0.016560457,52,120,NA,CPS_05_C_High,NA,
High,5/17/19,95,DT,5,A,30,NA,769.91,1997.865,0.016560457,144,109,NA,DT_05_A_High,NA,
High,5/17/19,101,CPS,5,B,31,NA,647.897,2084.499,0.016560457,42,140,NA,CPS_05_B_High,NA,
