"fullname","trial"
"BO_01_A_High_20190518_C2",2
"BO_01_A_High_20190601_C2",1
"BO_01_B_High_20190526_C2",1
"BO_01_B_High_20190526_C2",2
"BO_01_B_High_20190526_C2",3
"BO_01_B_Low_20190623_C2",3
"BO_01_C_High_20190529_C2",4
"BO_01_C_Low_20190630_C2",1
"BO_01_D_Low_20190701_C2",3
"BO_02_B_High_20190524_C2",3
"BO_02_D_Low_20190702_C2",2
"BO_03_B_High_20190519_C2",1
"BO_03_B_High_20190519_C2",2
"BO_03_B_Low_2_20190618_C2",1
"BO_03_C_High_20190529_C2",3
"BO_03_D_High_20190526_C2",2
"BO_04_B_High_20190524_C2",1
"BO_04_B_High_20190524_C2",3
"BO_04_B_Low_20190618_C2",1
"BO_04_B_Low_20190618_C2",2
"BO_04_C_High_20190527_C2",2
"BO_04_C_High_20190527_C2",3
"BO_04_C_Low_20190702_C2",1
"BO_04_D_High_20190530_C2",3
"BO_04_D_High_20190530_C2",4
"BO_04_D_Low_20190630_C2",3
"BO_05_A_High_20190528_C2",3
"BO_05_A_Low_20190620_C2",1
"BO_05_A_Low_20190622_C1",1
"BO_05_A_Low_20190622_C1",2
"BO_05_A_Low_20190622_C1",3
"BO_05_C_High_20190518_C2",2
"BO_05_C_High_20190518_C2",4
"BO_05_D_High_20190525_C2",1
"BO_05_D_High_20190525_C2",4
"BO_W_01_20190604_C2",4
"BO_W_02_20190604_C2",1
"BO_W_02_20190604_C2",4
"BO_W_03_20190606_C1",4
"BO_W_03_20190606_C1",6
"BO_W_04_20190605_C2",1
"BO_W_04_20190605_C2",2
"BO_W_05_20190605_C2",5
"BO_W_06_20190606_C2",4
"BO_W_07_20190606_C2",1
"BO_W_07_20190606_C2",2
"BO_W_07_20190606_C2",4
"BO_W_08_20190606_C1",4
"BO_W_09_20190607_C2",1
"BO_W_10_20190607_C2",1
"BO_W_10_20190607_C2",2
"BO_W_11_20190611_C2",5
"BO_W_13_20190611_C2",2
"BO_W_14_2_20190612_C2",3
"BO_W_14_20190612_C2",2
"BO_W_14_20190612_C2",5
"BO_W_15_20190612_C2",3
"BO_W_16_2_20190612_C2",5
"BO_W_19_20190613_C2",2
"BO_W_19_20190613_C2",4
"BO_W_20_20190614_C2",2
"BS_01_A_High_20190518_C2",1
"BS_01_A_High_20190518_C2",2
"BS_01_A_High_20190518_C2",3
"BS_01_B_High_20190528_C2",1
"BS_01_B_High_20190528_C2",3
"BS_01_B_High_20190528_C2",4
"BS_01_C_High_20190531_C2",2
"BS_01_C_High_20190531_C2",4
"BS_01_D_High_20190525_C2",4
"BS_01_D_Low_20190617_C2",2
"BS_01_D_Low_20190617_C2",3
"BS_01_D_Low_20190617_C2",4
"BS_02_A_High_20190519_C2",1
"BS_02_B_High_20190529_C2",1
"BS_02_B_High_20190529_C2",2
"BS_02_C_High_20190526_C2",1
"BS_02_C_High_20190526_C2",3
"BS_02_D_High_20190531_C2",2
"BS_02_D_High_20190531_C2",3
"BS_02_D_High_20190531_C2",5
"BS_03_B_Low_20190702_C2",1
"BS_03_B_Low_20190702_C2",2
"BS_03_C_Low_20190630_C2",2
"BS_04_A_High_20190526_C2",2
"BS_04_A_High_20190526_C2",3
"BS_04_A_High_20190526_C2",4
"BS_04_A_High_20190526_C2",6
"BS_04_A_Low_20190620_C2",1
"BS_04_A_Low_20190622_C1",1
"BS_04_A_Low_20190622_C1",3
"BS_04_B_High_20190528_C2",1
"BS_04_B_High_20190528_C2",3
"BS_04_B_Low_20190629_C2",2
"BS_04_C_Low_20190617_C2",2
"BS_04_C_Low_20190617_C2",3
"BS_04_D_High_20190601_C2",3
"BS_05_A_High_20190530_C2",3
"BS_05_A_High_20190530_C2",4
"BS_05_A_Low_2_20190622_C1",1
"BS_05_A_Low_2_20190622_C1",2
"BS_05_A_Low_20190624_C2",1
"BS_05_D_High_20190524_C2",2
"BS_05_D_High_20190524_C2",4
"BS_05_D_Low_20190619_C2",2
"BS_05_D_Low_20190619_C2",4
"BS_W_02_20190604_C2",3
"BS_W_02_20190604_C2",4
"BS_W_03_20190605_C2",1
"BS_W_04_20190605_C2",2
"BS_W_04_20190605_C2",3
"BS_W_05_20190605_C2",5
"BS_W_06_20190606_C2",1
"BS_W_07_20190606_C1",4
"BS_W_07_20190606_C1",5
"BS_W_08_20190606_C1",1
"BS_W_09_20190606_C1",1
"BS_W_10_20190607_C2",1
"BS_W_12_20190611_C2",5
"BS_W_14_20190612_C2",3
"BS_W_16_20190612_C2",1
"BS_W_18_20190613_C2",1
"BS_W_18_20190613_C2",3
"CPS_01_A_High_20190518_C2",2
"CPS_01_A_High_20190518_C2",3
"CPS_01_A_High_20190518_C2",4
"CPS_01_A_High_20190518_C2",5
"CPS_01_D_High_20190526_C2",2
"CPS_01_D_High_20190526_C2",3
"CPS_03_A_High_20190525_C2",2
"CPS_03_A_Low_20190622_C1",2
"CPS_03_A_Low_20190622_C1",3
"CPS_03_B_High_20190528_C2",3
"CPS_03_C_High_20190518_C2",1
"CPS_03_C_Low_20190617_C2",3
"CPS_03_C_Low_20190617_C2",4
"CPS_03_D_Low_20190629_C2",3
"CPS_04_A_High_20190527_C2",2
"CPS_04_B_Low_20190624_C2",2
"CPS_04_B_Low_20190624_C2",3
"CPS_04_B_Low_20190624_C2",5
"CPS_04_C_Low_20190630_C2",2
"CPS_04_C_Low_20190630_C2",3
"CPS_04_D_High_20190519_C2",3
"CPS_04_D_High_20190523_C2",1
"CPS_04_D_High_20190523_C2",2
"CPS_04_D_High_20190523_C2",3
"CPS_04_D_Low_20190618_C2",1
"CPS_05_A_High_20190524_C2",6
"CPS_05_A_High_20190524_C2",7
"CPS_05_A_Low_20190619_C2",1
"CPS_05_A_Low_20190619_C2",4
"CPS_05_C_High_20190527_C2",1
"CPS_05_C_High_20190527_C2",3
"CPS_05_D_High_20190601_C2",3
"CPS_06_A_Low_20190623_C2",3
"CPS_06_D_High_20190526_C1",1
"CPS_06_D_High_20190526_C1",3
"CPS_06_D_High_20190526_C1",6
"CPS_06_D_High_20190526_C1",7
"CPS_06_D_Low_20190618_C2",1
"CPS_W_02_20190604_C2",1
"CPS_W_02_20190604_C2",3
"CPS_W_04_20190605_C2",1
"CPS_W_04_20190605_C2",3
"CPS_W_05_20190605_C2",2
"CPS_W_05_20190605_C2",3
"CPS_W_06_20190606_C2",3
"CPS_W_06_20190606_C2",4
"CPS_W_06_20190606_C2",5
"CPS_W_07_20190606_C2",3
"CPS_W_08_20190606_C2",1
"CPS_W_08_20190606_C2",3
"CPS_W_10_20190604_C2",2
"CPS_W_10_20190604_C2",4
"CPS_W_11_20190613_C2",2
"CPS_W_11_20190613_C2",4
"CPS_W_15_20190613_C2",2
"CPS_W_15_20190613_C2",3
"CPS_W_17_20190611_C2",1
"CPS_W_18_20190614_C2",1
